source_ticker,target_ticker,target_name,category,supply_chain_stage,connection_type,relationship,importance,risk_note
000660.KS,ASML,ASML,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,ASML ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ASML.AS,ASML,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,ASML ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ASX,"ASE Technology Holding Co., Ltd",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"ASE Technology Holding Co., Ltd ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ASYS,"Amtech Systems, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Amtech Systems, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AVGO,Broadcom,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Broadcom ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,AZTA,"Azenta, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Azenta, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,CAMT,Camtek,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Camtek ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,CDNS,Cadence Design Systems,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Cadence Design Systems ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,COHR,Coherent,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Coherent ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,COHU,"Cohu, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Cohu, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,CRUS,"Cirrus Logic, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Cirrus Logic, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,DIOD,Diodes Incorporated,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Diodes Incorporated ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,ENTG,Entegris,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Entegris ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,MU,Micron,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Micron ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,NVDA,NVIDIA,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,NVIDIA ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,QCOM,Qualcomm,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Qualcomm ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,TSM,TSMC,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,TSMC ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie SK hynix.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
000660.KS,005930.KS,Samsung Electronics,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Samsung Electronics ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,285A.T,KIOXIA HOLDINGS CORPORATION,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,KIOXIA HOLDINGS CORPORATION ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,ANET,Arista Networks,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Arista Networks ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,AVGO,Broadcom,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Broadcom ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,DELL,Dell Technologies,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Dell Technologies ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,HPE,Hewlett Packard Enterprise,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Hewlett Packard Enterprise ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,MRVL,Marvell,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Marvell ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,MU,Micron,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Micron ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,NTAP,NetApp,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,NetApp ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,PSTG,Pure Storage,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Pure Storage ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,RMBS,Rambus,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Rambus ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,SIMO,Silicon Motion,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Silicon Motion ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,SMCI,Super Micro Computer,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Super Micro Computer ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,SNDK,Sandisk Corporation,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Sandisk Corporation ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,STX,Seagate,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Seagate ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,VRT,Vertiv,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Vertiv ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
000660.KS,WDC,Western Digital,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Western Digital ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie SK hynix.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,000660.KS,SK hynix,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,SK hynix ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AAOI,Applied Optoelectronics,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Applied Optoelectronics ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ACLS,Axcelis,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Axcelis ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ADI,Analog Devices,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Analog Devices ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AEHR,Aehr Test Systems,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Aehr Test Systems ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ALAB,"Astera Labs, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Astera Labs, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ALGM,"Allegro MicroSystems, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Allegro MicroSystems, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AMAT,Applied Materials,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Applied Materials ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AMBA,"Ambarella, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Ambarella, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AMD,AMD,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,AMD ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AMKR,Amkor Technology,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Amkor Technology ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ASML,ASML,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,ASML ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ASML.AS,ASML,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,ASML ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ASX,"ASE Technology Holding Co., Ltd",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"ASE Technology Holding Co., Ltd ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ASYS,"Amtech Systems, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Amtech Systems, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AVGO,Broadcom,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Broadcom ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,AZTA,"Azenta, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Azenta, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,CAMT,Camtek,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Camtek ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,CDNS,Cadence Design Systems,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Cadence Design Systems ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,COHR,Coherent,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Coherent ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,COHU,"Cohu, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Cohu, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,CRUS,"Cirrus Logic, Inc.",Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,"Cirrus Logic, Inc. ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.",Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,DIOD,Diodes Incorporated,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Diodes Incorporated ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,ENTG,Entegris,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Entegris ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,MU,Micron,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Micron ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,NVDA,NVIDIA,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,NVIDIA ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,QCOM,Qualcomm,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,Qualcomm ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,TSM,TSMC,Halbleiter / KI-Chips,4 - Halbleiter / Chip-Wertschöpfung,Lieferkette / Halbleiter-Ökosystem,TSMC ist Teil des gleichen Themen-/Lieferkettenclusters 'Halbleiter / KI-Chips' wie Samsung Electronics.,Hoch,"Zyklik, Taiwan-Risiko, Exportkontrollen und Lagerbestände beachten"
005930.KS,000660.KS,SK hynix,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,SK hynix ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,285A.T,KIOXIA HOLDINGS CORPORATION,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,KIOXIA HOLDINGS CORPORATION ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,ANET,Arista Networks,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Arista Networks ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,AVGO,Broadcom,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Broadcom ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,DELL,Dell Technologies,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Dell Technologies ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
005930.KS,HPE,Hewlett Packard Enterprise,Speicher / HBM / Storage,5 - Komponenten / Speicher / Storage,Lieferant / Infrastruktur,Hewlett Packard Enterprise ist Teil des gleichen Themen-/Lieferkettenclusters 'Speicher / HBM / Storage' wie Samsung Electronics.,Hoch,"Speicherpreise, HBM-Kapazität und Datacenter-Zyklus beobachten"
